VibrationNum,HeightNum,VibrationBinary,HeightBinary,BinaryValues
0.738306102,504.6101176,0,0,0
1.433142537,508.4359126,0,0,0
1.962362286,511.7489928,1,0,1
0.411111532,516.9550219,0,0,0
0.608014543,497.215385,1,0,1
0.247434477,508.3565538,0,0,0
1.433142537,486.796007,0,0,0
0.673906625,471.9565161,0,0,0
0.735961061,497.6350069,0,0,0
0.964275779,499.2958583,0,0,0
0.753826809,518.2265088,0,0,0
0.489639408,508.2483976,0,0,0
0.2439398,517.100573,0,0,0
0.887553883,517.6216587,0,0,0
0.135973684,518.2396477,0,0,0
0.735246845,591.763977,0,1,1
0.150760205,500.299688,0,0,0
0.877245893,462.1492532,0,1,1
0.292554698,514.5477521,0,0,0
0.772964556,496.467841,0,0,0
0.854157966,511.4845596,0,0,0
0.818299476,579.8433283,0,1,1
0.753221893,468.1259584,0,1,1
0.993679658,517.7074763,0,0,0
0.072471606,511.9067856,0,0,0
0.90212447,511.4105578,0,0,0
0.561801404,480.1791551,0,0,0
0.364209987,509.6007163,0,0,0
0.660616923,508.0567509,0,0,0
1.433142537,525.1326166,0,1,1
0.631955317,487.416275,0,0,0
0.742149195,485.1943194,0,0,0
0.906013915,513.0364446,0,0,0
0.237865929,503.8585699,0,0,0
0.912986574,507.6228174,0,0,0
0.636210901,442.4405785,0,0,0
0.357880157,530.8802092,0,1,1
0.611088977,504.6041075,0,0,0
0.6459077,512.2747884,0,0,0
0.366537797,483.5973122,0,0,0
0.496435773,507.9159475,0,0,0
0.483519288,482.5817337,0,0,0
0.689616562,493.8519722,0,0,0
0.865969085,480.7504041,0,0,0
0.640995269,490.8705097,0,0,0
0.721859676,467.9204764,1,1,1
0.907817588,484.7088468,0,0,0
0.18944102,507.8633066,0,0,0
0.482098617,491.0508378,0,0,0
0.039663183,513.7509397,0,0,0
0.905008105,575.9123608,0,1,1
0.217678619,494.5587448,0,0,0
0.769881852,499.6741092,0,0,0
0.604557529,507.2842162,0,0,0
0.909388551,483.1657861,0,0,0
0.155289745,510.4035392,0,0,0
0.217781061,498.0873425,0,0,0
0.236292818,481.5999493,0,0,0
0.013445096,458.9331505,0,0,0
0.785012188,491.3215663,0,0,0
0.603686011,485.0446305,0,0,0
0.406702914,509.7423007,0,0,0
0.942178051,510.0992538,0,0,0
0.746559829,498.290877,0,0,0
0.426149845,487.6264534,0,0,0
0.713439683,518.0777764,0,0,0
0.656022194,519.967692,0,1,1
0.759107876,490.7514694,0,0,0
0.984464448,491.8879062,0,0,0
0.29981241,512.2818515,0,0,0
0.929505231,511.6905111,0,0,0
1.433142537,482.0539886,0,0,0
0.510538654,491.9975124,0,0,0
0.933112795,513.6711061,0,0,0
0.1405583,490.5203415,0,0,0
0.285953991,519.320695,0,0,0
0.395133066,480.2772227,0,0,0
0.919855068,512.6573959,0,0,0
0.044099895,510.5320408,0,0,0
0.879389979,512.523751,0,0,0
0.586422308,519.4083143,0,0,0
0.775669583,498.5585071,0,0,0
0.418070191,491.7729244,0,0,0
0.606161594,487.2921508,1,0,1
0.358082327,514.8351076,0,0,0
0.986116895,497.0297817,0,0,0
0.637689174,484.4588718,0,0,0
0.756939802,502.2801308,0,0,0
0.603582189,412.6694036,0,0,0
0.810177964,516.2398698,0,0,0
0.017613035,516.3447074,0,0,0
0.254691839,560.4436663,0,0,0
0.611599354,514.0110582,0,0,0
0.416269108,517.2111172,0,0,0
0.124649759,485.3305886,0,0,0
0.416085355,496.0243193,0,0,0
1.433142537,419.4818696,0,1,1
0.363216623,518.7582404,0,0,0
0.772082712,505.8346016,0,0,0
1.018533458,592.1596257,1,1,1
0.021682878,501.2617539,0,0,0
0.482879172,516.2333454,0,0,0
0.721450415,501.5095157,0,0,0
1.433142537,482.6439003,0,0,0
0.063572039,489.4355764,0,0,0
0.145852347,504.2974987,0,0,0
0.312629529,490.8821704,0,0,0
1.383801047,583.7334006,1,1,1
0.802251821,514.7959388,0,0,0
0.337160909,494.449045,0,0,0
0.380520319,508.4624797,0,0,0
0.702995367,492.1817965,1,0,1
0.351412894,501.3566245,0,0,0
0.4184982,511.4632953,0,0,0
0.59224694,500.5557713,0,0,0
0.497120004,510.8489479,0,0,0
0.838145395,483.9534287,0,0,0
0.888055572,507.3056235,0,0,0
0.828899297,491.4303583,0,0,0
0.336628672,487.4877224,0,0,0
0.032597562,518.6166255,0,0,0
0.994634734,470.4025386,0,0,0
0.062646505,491.1715874,0,0,0
0.56607493,505.3629523,0,0,0
0.978648409,514.5263644,0,0,0
0.186976635,481.5193209,0,0,0
0.306951728,480.8903093,0,0,0
0.082036204,482.5724274,0,0,0
0.506088405,498.389416,0,0,0
0.94772451,482.2447588,0,0,0
0.511172912,492.8647778,0,0,0
0.944819284,517.8897368,0,0,0
0.321349879,424.9339949,0,0,0
0.338176385,601.7416449,0,0,0
0.531885006,514.5211726,0,0,0
0.006651696,417.5013574,0,1,1
0.535990708,456.6184385,0,0,0
0.236560702,513.9603703,0,0,0
0.738909106,493.7981625,0,0,0
0.135251857,519.6074154,0,0,0
0.34112405,509.1518986,0,0,0
0.299662058,499.3751942,0,0,0
0.977647327,496.9474035,1,0,1
0.641063744,503.4739019,0,0,0
0.871407532,517.9034725,0,0,0
0.089353246,516.0871595,0,0,0
0.644862495,488.6541311,0,0,0
0.444005506,517.4207324,0,0,0
0.652760898,490.8211111,0,0,0
0.035267548,502.0933788,0,0,0
1.433142537,483.0871114,0,0,0
0.180068562,484.5170546,0,0,0
0.019036848,482.1724456,0,0,0
0.18666508,571.7843849,0,0,0
0.313129573,515.1572966,0,0,0
0.305108843,499.9333342,0,0,0
0.174693454,512.7697109,0,0,0
0.064500483,503.8259953,0,0,0
0.589501377,494.2967358,0,0,0
0.419022155,513.1282044,0,0,0
0.470116207,519.4035547,0,0,0
0.871508292,483.1399859,0,0,0
0.893512532,507.6671378,0,0,0
0.034691797,488.8048896,0,0,0
0.093190427,485.6967099,0,0,0
0.544304935,496.053418,0,0,0
0.524869104,488.8049238,0,0,0
0.295735444,510.8165671,0,0,0
0.06072563,436.184159,0,1,1
0.462079621,515.3420307,0,0,0
1.433142537,499.534807,0,0,0
0.410655105,589.1753464,0,1,1
0.241704497,500.5376146,0,0,0
0.298019308,499.44651,0,0,0
0.93673753,507.6824117,0,0,0
1.433142537,481.2813661,0,0,0
0.450695993,487.8505608,0,0,0
0.721890172,492.5328346,0,0,0
0.901948343,486.5610865,0,0,0
0.221915362,493.4047404,0,0,0
0.164932253,510.7187771,0,0,0
0.169919732,507.2579497,0,0,0
0.307583684,483.2773003,0,0,0
0.967699016,408.3729663,1,1,1
0.344760029,496.3657249,0,0,0
0.94638555,509.7363663,0,0,0
0.932467445,487.6814684,0,0,0
0.357794284,499.8705976,0,0,0
0.506985885,508.050128,0,0,0
0.350152745,508.3427784,0,0,0
0.487855372,499.798681,0,0,0
0.498196527,481.6770995,0,0,0
0.67544854,493.7327411,0,0,0
0.876963281,490.5858139,0,0,0
0.294437304,482.93748,0,0,0
0.828165323,507.9635996,0,0,0
0.165612724,509.1786006,0,0,0
0.194414488,588.9741361,0,0,0
0.509932625,505.0305512,0,0,0
0.420414595,480.527474,0,0,0
0.64109761,497.7564282,0,0,0
0.334120174,513.8158294,0,0,0
0.527904471,496.9389265,0,0,0
0.756217874,483.5926495,0,0,0
0.356379819,505.59933,0,0,0
0.750866206,507.5254855,0,0,0
0.331899961,505.1574363,0,0,0
0.675543212,519.7486093,0,0,0
0.742622884,492.3023248,0,0,0
1.433142537,518.409671,0,0,0
1.433142537,499.8678186,0,0,0
0.930615796,507.8615706,0,0,0
0.466272615,483.3814503,0,0,0
0.643935491,512.9067808,0,0,0
0.36917582,505.9482471,0,0,0
0.857506788,486.2694786,0,0,0
0.667948517,596.3801865,0,1,1
0.550997096,516.4746925,0,0,0
0.833414867,505.9873191,0,0,0
0.355492627,490.4951065,0,0,0
0.08748697,484.450224,0,0,0
0.546332327,498.3237661,0,0,0
0.762364198,516.6800596,0,0,0
0.394870196,481.1948975,0,0,0
0.054803131,483.8456292,0,0,0
0.841710654,505.2422786,0,0,0
0.168880566,451.3276364,0,1,1
0.588346682,506.490531,0,0,0
0.064524214,519.5142838,0,0,0
0.985404949,488.916804,0,0,0
0.641442009,484.9679439,0,0,0
0.770794795,504.8127355,0,0,0
0.342654414,430.3012388,0,0,0
0.618710406,513.3496147,0,0,0
1.433142537,496.4222593,0,0,0
0.85720407,480.0958004,0,0,0
0.430439483,490.7069396,0,0,0
0.624387797,500.1907904,0,0,0
0.114363185,505.292372,0,0,0
0.540499936,518.2810262,0,0,0
1.433142537,494.066497,0,0,0
0.886856103,486.0157934,0,0,0
0.289112395,499.7207996,0,0,0
0.84890683,509.4212253,0,0,0
0.566810733,516.6317558,0,0,0
0.607360473,503.3176809,0,0,0
0.884729837,482.5525881,0,0,0
0.761976359,492.7088094,0,0,0
0.492966902,603.6241107,0,0,0
0.465462092,494.5653328,0,0,0
0.288161061,406.0666135,0,1,1
0.490365515,440.7000148,0,0,0
0.942699879,503.6789692,1,0,1
0.511162017,482.8808827,0,0,0
0.530658779,481.4316894,0,0,0
0.206911507,488.4847464,0,0,0
0.531990901,492.2035396,0,0,0
0.06615796,482.4195823,0,0,0
0.345024768,507.0031026,0,0,0
0.834400439,509.349006,0,0,0
1.433142537,493.6141899,0,0,0
0.919222493,491.8389855,0,0,0
0.382465197,515.44151,0,0,0
0.623313161,482.638529,0,0,0
0.691817675,475.0884899,0,0,0
0.792727613,504.4726107,0,0,0
0.825139567,488.081014,0,0,0
0.518901483,507.5541411,0,0,0
0.689435606,499.6643963,0,0,0
0.020455268,517.3603965,0,0,0
1.433142537,496.228312,0,0,0
0.465323785,502.0200157,0,0,0
0.368493452,516.6788733,0,0,0
0.747127053,511.4203318,0,0,0
0.941041712,490.6591261,0,0,0
0.126849212,506.6449081,0,0,0
0.222369737,509.3644767,0,0,0
0.998424794,492.6674182,0,0,0
0.426615923,515.8913465,0,0,0
1.433142537,485.1022251,0,0,0
0.776989393,591.8911908,1,0,1
0.700990483,485.5555172,0,0,0
0.138426722,484.6152268,0,0,0
0.792803082,496.5077661,0,0,0
0.718572826,483.7515485,0,0,0
0.12942191,486.4293734,0,0,0
0.411937872,510.9006738,0,0,0
0.935863016,494.5505242,0,0,0
0.184655903,591.493173,0,1,1
0.021384559,503.8664526,0,0,0
0.963603729,493.2546772,0,0,0
0.510343164,492.3772919,0,0,0
0.472208782,488.070636,0,0,0
0.668359881,499.4182814,0,0,0
0.611267202,489.7403088,0,0,0
0.869587534,515.7235944,0,0,0
0.336388604,490.8883696,0,0,0
0.878650634,504.625356,0,0,0
0.578832756,485.9494976,0,0,0
0.327946657,508.5291353,0,0,0
0.719957079,499.3655245,1,0,1
0.947850439,485.8301231,0,0,0
0.883466222,518.868429,0,0,0
0.719235364,439.8698873,0,0,0
0.447912321,591.2941103,0,0,0
0.763192223,496.6128913,1,0,1
0.383439821,608.4250789,0,0,0
0.571899182,434.2160765,0,1,1
0.610132187,512.2131027,0,0,0
0.425530883,484.9179906,0,0,0
0.896629496,512.8758458,0,0,0
1.433142537,499.943331,0,0,0
0.833311879,588.8597086,0,1,1
0.624329793,506.1204123,0,0,0
0.736784058,485.2485197,0,0,0
0.609213187,491.0838729,0,0,0
0.677032696,499.6626814,0,0,0
0.165098135,512.0552278,0,0,0
0.387956807,509.1676937,0,0,0
0.09639106,503.9303333,0,0,0
0.085257571,511.2352257,0,0,0
0.474273919,480.7022235,0,0,0
0.826314454,519.2327816,0,0,0
0.723014726,484.9369421,1,0,1
0.215394832,496.1274506,0,0,0
0.69668107,487.0504374,0,0,0
0.562237048,480.0847285,0,0,0
0.687127951,504.7444518,0,0,0
0.008111306,510.2657912,0,0,0
0.258862125,517.4539905,0,0,0
0.016873727,493.813647,0,0,0
0.205579587,481.8151951,0,0,0
0.87960116,511.4092631,0,0,0
0.247014754,500.5577886,0,0,0
0.215939993,484.0092392,0,0,0
0.679974557,509.2547065,0,0,0
0.15416021,533.67485,0,0,0
0.718751031,514.1031001,0,0,0
0.089745543,509.830133,0,0,0
0.208430183,518.7559716,0,0,0
0.309605507,496.2778201,0,0,0
0.436425315,508.0789252,0,0,0
0.424470241,497.4699248,0,0,0
0.764110437,509.2717548,0,0,0
0.910780113,483.0910966,0,0,0
0.380041487,505.1824504,0,0,0
0.150141971,513.9235581,0,0,0
0.16080562,422.8799847,0,1,1
0.298051501,505.9458534,0,0,0
0.745211537,507.7963779,0,0,0
0.487767349,490.1889283,0,0,0
0.568097376,490.8387573,0,0,0
0.38377635,560.4393974,0,1,1
0.990917121,488.8755728,1,0,1
0.305415914,492.177089,0,0,0
0.419775529,519.406916,0,0,0
0.006873099,515.8578893,0,0,0
0.565272858,519.9492234,0,0,0
0.96561208,423.409287,1,0,1
0.810507392,433.1371153,0,0,0
0.846656799,511.5585986,0,0,0
0.223403492,485.6497207,0,0,0
0.376800642,508.4615933,0,0,0
1.433142537,486.0729336,0,0,0
0.357658103,499.660672,0,0,0
0.323500317,505.252518,0,0,0
0.283191158,578.9432832,0,1,1
0.680497916,500.4919993,0,0,0
0.028237725,501.5345314,0,0,0
0.706730766,559.4545194,0,0,0
0.717478096,509.8829668,0,0,0
0.751060947,501.5528356,0,0,0
0.724179667,505.529842,0,0,0
0.566616254,494.8163801,0,0,0
0.126202743,505.09945,0,0,0
0.125643005,506.386422,0,0,0
0.656756746,517.2455954,0,0,0
0.060033905,508.1514751,0,0,0
0.353076693,492.0818759,0,0,0
0.094431839,508.3401695,0,0,0
0.63178473,494.5700623,0,0,0
0.720458811,489.5500442,0,0,0
0.655928261,525.2444983,0,0,0
0.403131588,487.6643707,0,0,0
0.074443352,493.6415419,0,0,0
0.650591531,484.4862135,0,0,0
0.317567685,519.7703343,0,0,0
0.552729817,492.446952,0,0,0
0.268581078,494.2603677,0,0,0
0.894921504,504.8538663,0,0,0
0.442122251,480.3658359,0,0,0
0.743252177,498.7730552,0,0,0
0.999028555,493.8499019,0,0,0
0.914400803,489.1017437,0,0,0
0.236408078,482.3724318,0,0,0
0.356729852,513.0599204,0,0,0
0.361908243,504.2689506,0,0,0
0.11139038,502.7606247,0,0,0
0.167608296,515.254592,0,0,0
0.958089224,482.1000328,0,0,0
0.600504175,483.2219604,0,0,0
0.357308426,494.9827297,0,0,0
0.630621153,512.2102324,0,0,0
